Player,Team,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Tyreek Hill,KC,102,"1,457.50",12,13.1,83.7,0.9,0.5,230.6
Davante Adams,GB,124.2,"1,485.30",12.8,0,0,0,0.5,224.4
Stefon Diggs,BUF,115.1,"1,490.90",9.5,2.1,13.7,0,0.8,206.3
Calvin Ridley,ATL,101,"1,441.40",9,3.9,22.6,0.1,0.5,199.7
Justin Jefferson,MIN,96.2,"1,434.30",8.1,0.7,3.8,0,0.5,191.3
DeAndre Hopkins,ARI,118.3,"1,449.00",7.9,0.7,3.5,0,1,191
D.K. Metcalf,SEA,87.9,"1,308.80",9.8,0.6,4,0,0.9,188.4
A.J. Brown,TEN,85.2,"1,276.30",9.8,1.2,12.2,0,0.6,186.4
CeeDee Lamb,DAL,87.2,"1,129.40",7.1,8.8,62.9,0.7,0.5,165.2
Amari Cooper,DAL,90.4,"1,184.60",7.3,2.5,11.6,0,0.5,162.8
Keenan Allen,LAC,107,"1,153.20",7.5,2.8,15,0.1,0.6,161.2
Mike Evans,TB,73.5,"1,087.90",8.7,0,0,0,0.4,160.3
Allen Robinson II,CHI,97.4,"1,203.10",6.8,0.2,0.2,0,0.5,160.2
Terry McLaurin,WAS,88.9,"1,196.00",6.6,1.9,13.3,0.1,0.5,159.8
Julio Jones,TEN,80.8,"1,158.90",7.4,0.4,-0.4,0,0.4,159.2
Tyler Lockett,SEA,92.5,"1,083.80",8.3,1.6,6.3,0,0.5,158
Adam Thielen,MIN,80.6,"1,029.40",8.8,3.2,14.9,0.2,0.5,157.6
Robert Woods,LAR,94.8,"1,050.50",5.9,17.6,111.6,0.9,0.6,155.9
Cooper Kupp,LAR,94.4,"1,093.60",7.1,3.5,21.7,0.1,0.5,153.6
D.J. Moore,CAR,83.1,"1,189.60",5.6,2.9,19,0.1,0.5,153.5
Tee Higgins,CIN,83.2,"1,098.30",6.9,1.8,9.9,0,0.5,151.1
Chris Godwin,TB,81.2,"1,067.30",7.4,0.2,1.6,0,0.5,150.3
Brandon Aiyuk,SF,73.2,942.6,6.4,13.7,83.4,0.8,0.5,144.8
Diontae Johnson,PIT,95.5,"1,020.60",6.7,4.1,25.9,0.1,1,143.1
Kenny Golladay,NYG,70.8,"1,042.20",6.6,0,0,0,0.5,142.8
Ja'Marr Chase,CIN,74,"1,056.50",6.3,1.2,6.5,0,0.8,142.7
Odell Beckham Jr.,CLE,71,984.3,6.6,4.5,40.5,0.2,0.5,142.4
Brandin Cooks,HOU,77.2,"1,076.00",5.6,0.8,6.8,0,0.4,141
Deebo Samuel,SF,75.1,953.7,5.1,13.9,109.6,0.8,0.5,140.9
Chase Claypool,PIT,70.1,918.7,6.8,6.6,35.4,0.5,0.6,137.8
Courtland Sutton,DEN,70.1,995,6.1,1.3,7.5,0,0.5,135.8
Michael Gallup,DAL,65.6,974.5,6,0,0,0,0.4,132.7
JuJu Smith-Schuster,PIT,90.5,930.4,6.7,0.2,1.4,0,0.6,132.2
Marvin Jones Jr.,JAC,71,941.8,6.4,0.2,0,0,0.4,132.1
Marquise Brown,BAL,64.3,867.2,7.3,1.4,8.6,0,0.4,130.7
Jerry Jeudy,DEN,71.3,998.8,5.3,0,0,0,0.6,130.7
D.J. Chark Jr.,JAC,71.1,944,6.1,0.6,5.8,0,0.4,130.6
Robby Anderson,CAR,80.3,980.8,5.2,2.4,11.8,0.1,0.5,129.5
Jarvis Landry,CLE,76.9,918,5.4,2.3,13.6,0.3,0.5,126.3
Curtis Samuel,WAS,65.5,764.7,5.1,24.8,129.6,1.1,0.5,125.7
Mike Williams,LAC,57.3,899.8,6,0.2,0.4,0,0.4,125
Tyler Boyd,CIN,82.7,902.6,5.4,2.4,17.7,0,0.5,123.2
Laviska Shenault Jr.,JAC,69.9,790.5,4.9,19.8,110.1,0.6,0.5,122.2
DeVante Parker,MIA,67.9,878.5,5.6,0,0,0,0.5,120.5
DeVonta Smith,PHI,63.3,889.9,5.2,1.6,11.2,0,0.8,119.6
Will Fuller V,MIA,64.9,851.1,5.5,0,0,0,0.6,116.6
Corey Davis,NYJ,66.7,885.3,4.4,0.4,3,0,0.5,114.3
Michael Pittman Jr.,IND,63.5,822.9,5,3.5,22.5,0,0.5,113.6
Antonio Brown,TB,66.7,770.7,6,2,11.5,0,0.4,113.5
Michael Thomas,NO,71,834.3,5.1,0.4,0.8,0,0.7,112.7
Mecole Hardman,KC,54.2,745.5,5.5,6.5,44.7,0.1,1.1,110.1
Jakobi Meyers,NE,65.1,835.7,4.2,1,4.8,0,0.2,109.2
Henry Ruggs III,LV,50.9,787.2,4.3,8.3,46.6,0.1,1.2,107.5
Tyrell Williams,DET,56,805.8,4.4,0.2,1.2,0,0.5,106.3
Jaylen Waddle,MIA,55.8,777.4,4.5,2.8,24.5,0,0.8,105.7
Darnell Mooney,CHI,65.9,774.1,4.5,2.9,16.8,0,0.5,105.1
Nelson Agholor,NE,52,754.8,5,0.5,3.2,0,0.4,104.8
Cole Beasley,BUF,68,783.2,4.5,0,0,0,0.4,104.6
Russell Gage,ATL,72.2,780.2,4.3,1.2,6.3,0,0.4,103.8
Emmanuel Sanders,BUF,58.7,718,4.7,0.9,5.4,0,0.4,100
Sterling Shepard,NYG,67.9,720,4,3.8,30.4,0.2,0.4,99.7
Marquez Callaway,NO,54.5,702.2,4.1,2.4,18.3,0,0.2,96
T.Y. Hilton,IND,52.2,699.7,4.3,0,0,0,0.4,95.2
Tre'Quan Smith,NO,45.7,645.2,5.1,0.2,0.4,0,0.1,94.8
Gabriel Davis,BUF,41.7,626.9,5.1,0.2,0,0,0.1,92.9
Jalen Reagor,PHI,51.9,685.7,3.9,2.5,14,0,0.5,92.5
Jamison Crowder,NYJ,59.6,659.3,4.3,0.4,3.8,0,0.4,91.3
Elijah Moore,NYJ,54.6,675.1,3.6,0.5,3.2,0,0.2,89
Randall Cobb,GB,52.1,620.8,4.3,1.4,7.5,0,0.5,87.6
Rondale Moore,ARI,50.1,623.9,3.5,4.5,33.7,0.2,0.8,86.5
Christian Kirk,ARI,48.1,584.4,4,4.9,34.3,0,0.4,85.5
A.J. Green,ARI,49.1,604,4.1,0,0,0,0.4,84.3
Darius Slayton,NYG,43.8,617.5,3.6,0.6,2.1,0,0.4,82.6
DeSean Jackson,LAR,38.1,590,3.6,2.3,13.7,0.1,0.4,81.8
Parris Campbell,IND,47,572.3,3.3,4.1,25.5,0.1,0.2,79.8
Terrace Marshall Jr.,CAR,45.6,584.8,3.6,0.4,2.2,0,0.8,78.5
Bryan Edwards,LV,41.2,553.6,3.4,4,30.8,0,0.2,78.4
Amon-Ra St. Brown,DET,48.2,579.3,3.2,0,0,0,0.2,76.6
Allen Lazard,GB,37.2,506.9,3.5,1.4,10.6,0,0.4,72.2
Rashod Bateman,BAL,37.9,499.3,3.8,0.6,3.8,0,0.6,72.2
Sammy Watkins,BAL,38.9,489.5,3.6,0.8,7.2,0,0.4,70.4
Hunter Renfrow,LV,45.6,525.4,3,0,0,0,0.4,70
Marquez Valdes-Scantling,GB,28,483.3,3.5,2,11.9,0,0.4,69.8
Anthony Miller,JAC,45.6,538.4,2.5,1.8,8.3,0.1,0.5,68.7
Zach Pascal,IND,34.2,462.7,3.4,0.2,1.6,0,0,66.9
Chris Conley,HOU,38,505.7,2.5,0.4,3,0,0.4,65.3
Kendrick Bourne,NE,37.6,486.5,2.7,0,0,0,0.1,64.7
Josh Reynolds,TEN,36.4,457.4,2.9,0.6,3.6,0,0.4,62.8
Jalen Guyton,LAC,30.3,472.5,2.4,2,8.5,0.1,0.1,62.8
Van Jefferson,LAR,37.2,447.9,2.9,1.1,4.6,0,0.1,62.8
Demarcus Robinson,KC,36.4,437.2,3.3,0,0,0,0.4,62.5
Nico Collins,HOU,34.6,455.9,2.7,0,0,0,0.1,61.5
KJ Hamler,DEN,33.6,411.3,2.4,9.1,50.1,0.1,0.4,60.3
Quintez Cephus,DET,31.6,448.3,2.5,0,0,0,0.1,59.4
Breshad Perriman,CHI,28.3,434,2.3,0.7,4.3,0,0,57.5
James Washington,PIT,31.4,416.6,2.7,0,0,0,0.4,56.9
Geronimo Allison,DET,38.9,419.4,2.3,0,0,0,0,55.4
Deonte Harris,NO,34.8,387.7,2.1,5.5,36,0.1,0.1,55
Tim Patrick,DEN,29.6,389.6,2.5,0,0,0,0.4,53.2
Keelan Cole Sr.,NYJ,31.7,402.4,2.2,0,0,0,0.2,52.9
Adam Humphries,WAS,37,401.4,2.1,0,0,0,0.1,52.6
Cordarrelle Patterson,ATL,10.7,127.4,0.7,54,225,2,0,51.1
Rashard Higgins,CLE,24.3,376.5,2.4,0,0,0,0.4,51
Travis Fulgham,PHI,28.3,379,2.1,0,0,0,0,50.7
Danny Amendola,HOU,35.3,381.9,2,0,0,0,0.1,50.2
Denzel Mims,NYJ,27.6,386.6,1.8,0.2,0.6,0,0,49.5
Keke Coutee,IND,35.2,411,2.1,1,5.5,0.5,4,49.5
Donovan Peoples-Jones,CLE,25.2,351.2,2.2,0,0,0,0.1,48.4
D'Wayne Eskridge,SEA,26.8,332.3,2.3,1.1,6,0,0.1,47.6
Olamide Zaccheaus,ATL,26,360.7,1.9,0.4,2.1,0,0.1,47.5
Joshua Palmer,LAC,26.5,344.9,2.2,1,6.6,0,0.4,47.5
Damiere Byrd,CHI,30.7,368.3,1.8,0.2,1.6,0,0.4,47.2
Quez Watkins,PHI,26,348.7,2.1,0,0,0,0.1,47.1
Tyron Johnson,JAC,22,340.7,2.1,1.3,7.5,0,0,47.1
Albert Wilson,MIA,25.1,290.4,2.2,4.6,26.1,0.1,0.1,45.2
Kadarius Toney,NYG,24.3,295.8,1.4,7.9,49.7,0.1,0.1,43.5
Richie James Jr.,SF,24.1,427,1.4,1.5,0,0,4,43.2
Preston Williams,MIA,20.9,280.4,2.4,0,0,0,0.4,42
Mohamed Sanu Sr.,SF,29.6,313.9,1.7,1,4.3,0,0.4,41.1
Dyami Brown,WAS,21.5,289.2,1.5,0,0,0,0.1,37.9
Byron Pringle,KC,21.3,278.7,1.7,0,0,0,0.1,37.9
Auden Tate,CIN,21.6,275.4,1.4,0,0,0,0.1,35.8
Isaiah Coulter,CHI,18.3,275.6,1.5,1,4,0,1,35
Kalif Raymond,DET,20,276.1,1.3,0,0,0,0.1,34.9
Scotty Miller,TB,16.8,234.5,1.5,1.8,10,0.1,0.1,33.9
N'Keal Harry,NE,18,222.2,1.4,0.6,3.4,0,0,31
Isaiah McKenzie,BUF,17.7,193.2,1.4,4.3,21.4,0.2,0.1,30.6
Freddie Swain,SEA,16.9,220.1,1.3,0,0,0,0,30
Amari Rodgers,GB,16.6,196.4,1.2,1.5,9.3,0.1,0.1,27.9
Willie Snead IV,LV,18,207.8,1.2,0,0,0,0.1,27.5
Bisi Johnson,MIN,16.4,188.2,1.3,0,0,0,0,26.4
Devin Duvernay,BAL,14.7,172.1,1,1.9,12.5,0,0.1,24.5
Tutu Atwell,LAR,14.2,180.6,1,0,0,0,0.1,23.9
Ty Montgomery,NO,13.2,137.8,0.9,8.6,39.2,0.1,0.1,23.2
Simi Fehoko,DAL,12.8,176.3,0.9,0,0,0,0.1,23.2
Collin Johnson,NYG,12.3,162.7,0.9,1,6.1,0,0,22.6
Ihmir Smith-Marsette,MIN,12.2,158.5,1,0,0,0,0,22
Chris Hogan,NO,12.2,149.8,0.9,1.9,15.3,0,0,22
Dede Westbrook,MIN,13.5,152.1,1,0.5,2.4,0,0.1,21.1
Zay Jones,LV,13,168.7,0.7,0,0,0,0,21
Javon Wims,LV,13.1,152,0.9,0,0,0,0,20.8
Greg Ward,PHI,16.3,167.4,0.7,0.3,1.5,0,0.1,20.7
Tylan Wallace,BAL,11.5,142.7,0.9,0,0,0,0,19.7
Jamal Agnew,JAC,8.5,104.3,0.5,6.2,33.9,0.2,0.1,18.1
Jakeem Grant Sr.,CHI,8.8,96.5,0.4,11.7,56.5,0.1,0,18.1
Miles Boykin,BAL,9.7,123.6,0.9,0,0,0,0,18
Marquise Goodwin,CHI,10.1,134.7,0.7,0,0,0,0,17.7
Dez Fitzpatrick,TEN,11,174,0,0,0,0,0,17.4
Christian Blake,ATL,12.4,145.1,0.5,0,0,0,0.1,17.4
Andy Isabella,ARI,9.6,130.7,0.7,0,0,0,0,17.3
Trinity Benson,DET,10.9,136.6,0.6,0,0,0,0.1,17.2
K.J. Osborn,MIN,8.8,129.4,0.7,0,0,0,0,16.8
Chris Moore,HOU,10.5,120.8,0.7,0,0,0,0,16.3
Phillip Dorsett II,SEA,9.8,115.5,0.7,0,0,0,0,15.9
Cam Sims,WAS,8.3,108.9,0.6,0.7,3.7,0,0,15.2
Trent Sherfield,SF,9.2,117,0.6,0,0,0,0,15.1
Braxton Berrios,NYJ,10,105.7,0.6,1,5.8,0,0,14.7
Lynn Bowden Jr.,MIA,4.8,45.1,0.4,10.4,53.6,0.4,0,14.3
Cedrick Wilson Jr.,DAL,8.5,111.5,0.5,0,0,0,0,14
Alex Erickson,CAR,8.5,100.4,0.5,0,0,0,0,13.1
Shi Smith,CAR,7.3,89.1,0.5,0.9,5.5,0,0,12.5
Frank Darby,ATL,7.7,90.3,0.6,0,0,0,0,12.4
KhaDarel Hodge,DET,7.2,105.1,0.3,0,0,0,0,12.3
Jalen Hurd,SF,6,73,0.5,2.6,15.8,0.1,0,12.1
Tyler Johnson,TB,6,85.2,0.6,0,0,0,0,11.9
Nick Westbrook-Ikhine,TEN,6.3,86.2,0.5,0,0,0,0,11.7
Jaelon Darden,TB,6.6,87.5,0.5,0,0,0,0,11.7
KeeSean Johnson,PHI,7.7,85.4,0.5,0,0,0,0,11.5
Chester Rogers,TEN,7.6,83.9,0.5,0,0,0,0,11.4
Noah Brown,DAL,6.5,81.3,0.5,0,0,0,0,10.9
DaeSean Hamilton,DEN,7.3,75.2,0.5,0,0,0,0,10.4
Ray-Ray McCloud,PIT,6.9,66.3,0.4,2,12.8,0.1,0.1,10.3
Demetric Felton,CLE,11,81.9,0.4,0,0,0,0.1,10.3
Anthony Schwartz,CLE,5.9,75.9,0.5,0,0,0,0,10.3
Steven Sims Jr.,PIT,6,75.2,0.4,0,0,0,0,10
Cameron Batson,TEN,5.5,59.1,0.4,1.7,10,0.1,0.1,9.7
Mike Thomas,CIN,5.1,70.5,0.4,0,0,0,0,9.5
Lil'Jordan Humphrey,NO,5.3,62.6,0.4,0,0,0,0,8.8
Jeff Smith,NYJ,5.6,63.8,0.4,0,0,0,0,8.6
Diontae Spencer,DEN,4.6,53.5,0.3,1.6,9.1,0.1,0,8.3
Penny Hart,SEA,4.2,55.8,0.4,0.7,3.3,0,0,8.1
Gunner Olszewski,NE,3.8,52.5,0.3,1.3,6.8,0,0,7.8
Matthew Slater,NE,1.4,66.4,0.2,0,0,0,0,7.6
Andre Roberts,HOU,4.2,57.7,0.3,0,0,0,0,7.6
Jake Kumerow,BUF,3.9,53.2,0.4,0,0,0,0,7.4
Tajae Sharpe,ATL,4.4,55.4,0.2,0,0,0,0,6.9
J.J. Arcega-Whiteside,PHI,3.2,50.4,0.3,0,0,0,0,6.8
K.J. Hill Jr.,LAC,3.8,49,0.3,0,0,0,0,6.5
DeAndre Carter,WAS,3.8,49,0.3,0,0,0,0,6.4
John Ursua,SEA,2.9,33,0.5,0,0,0,0,6.3
Marcus Johnson,TEN,3.6,43.6,0.3,0,0,0,0,6.3
Greg Dortch,ARI,4.1,46.9,0.3,0,0,0,0,6.3
James Proche II,BAL,3.1,45.7,0.3,0,0,0,0,6.2
Brandon Zylstra,CAR,3.8,52.8,0.1,0.3,2.7,0,0,6.1
Racey McMath,TEN,3.1,38.5,0.3,0,0,0,0,5.5
Trent Taylor,CIN,3.9,39.7,0.2,0,0,0,0,5.4
John Ross,NYG,2.5,34.5,0.3,0,0,0,0,5.2
Malik Taylor,GB,2.6,36.7,0.3,0,0,0,0,5.1
Nsimba Webster,CHI,1.9,39,0.1,0,0,0,0,4.7
C.J. Board,NYG,2.1,37.8,0.1,0,0,0,0,4.7
Tavon Austin,JAC,3.1,36.6,0.2,0,0,0,0,4.6
Ashton Dulin,IND,2,35.2,0.2,0,0,0,0,4.4
Malcolm Perry,NE,1.7,19.6,0.1,2,10.1,0.1,0,3.9
Antonio Gandy-Golden,WAS,2.1,28.6,0.2,0,0,0,0,3.9
Daurice Fountain,KC,2,26.2,0.2,0,0,0,0,3.7
Mike Strachan,IND,2,26.7,0.1,0,0,0,0,3.5
Isaac Whitney,ARI,2.1,24.1,0.2,0,0,0,0,3.4
Terry Godwin,JAC,2,22.5,0.2,0,0,0,0,3.3
Brandon Powell,MIA,2,21.8,0.2,0,0,0,0,3.2
Jauan Jennings,SF,1.7,22.7,0.1,0,0,0,0,3
Dax Milne,WAS,1.8,23.4,0.1,0,0,0,0,3
Antoine Wesley,ARI,1.8,22.2,0.1,0,0,0,0,3
Marcus Kemp,KC,1.2,22.3,0.1,0,0,0,0,2.8
Allen Hurns,MIA,1.6,16.7,0.2,0,0,0,0,2.8
Juwan Johnson,NO,1.7,21.4,0.1,0,0,0,0,2.7
Equanimeous St. Brown,GB,1.3,17.1,0.2,0,0,0,0,2.7
Travis Benjamin,SF,1.2,17.3,0.2,0,0,0,0,2.7
David Moore,DEN,1.3,16,0.2,0,0,0,0,2.6
Stanley Morgan Jr.,CIN,1.3,15.8,0.1,0,0,0,0,2
Mack Hollins,MIA,1.1,15.6,0.1,0,0,0,0,1.9
Kendall Hinton,DEN,1.1,12.1,0,1.2,6.4,0,0,1.9
Isaiah Ford,MIA,1.6,15,0.1,0,0,0,0,1.8
Joe Reed,LAC,0.8,9.4,0,0.9,4.8,0,0,1.4
Matt Cole,CAR,0.9,9.5,0,0.9,4.3,0,0,1.4
Damion Ratley,DAL,1,11.6,0,0,0,0,0,1.2
Malik Turner,DAL,0.9,10.6,0,0,0,0,0,1.1
Kelvin Harmon,WAS,0.8,10.6,0,0,0,0,0,1.1
Vyncint Smith,NYJ,0.9,10.1,0,0,0,0,0,1
John Hightower,PHI,0.7,9.8,0,0,0,0,0,1
Gehrig Dieter,KC,0.9,9.7,0,0,0,0,0,1
Jason Moore Jr.,LAC,0.8,9.5,0,0,0,0,0,1
Josh Malone,DEN,0.9,9.4,0,0,0,0,0,0.9
Jake Lampman,NO,0.7,9.4,0,0,0,0,0,0.9
Jeff Badet,ATL,0.9,9.3,0,0,0,0,0,0.9
Keelan Doss,ATL,0.8,9.3,0,0,0,0,0,0.9
Chad Hansen,DET,0.9,9.2,0,0,0,0,0,0.9
Trenton Irwin,CIN,0.8,9.2,0,0,0,0,0,0.9
Tanner Gentry,BUF,0.8,9.2,0,0,0,0,0,0.9
Marcell Ateman,LV,0.7,9.1,0,0,0,0,0,0.9
Lawrence Cager,CLE,0.8,9,0,0,0,0,0,0.9
Cyril Grayson Jr.,TB,0.9,9,0,0,0,0,0,0.9
Robert Foster,DAL,0.7,8.7,0,0,0,0,0,0.9
Derrick Willies,CLE,0.7,8.6,0,0,0,0,0,0.9
Alexander Hollins,CLE,0.7,8.5,0,0,0,0,0,0.9
Laquon Treadwell,JAC,0.8,8.4,0,0,0,0,0,0.8
Dante Pettis,NYG,0.7,8.4,0,0,0,0,0,0.8
Ja'Marcus Bradley,CLE,0.7,8.4,0,0,0,0,0,0.8
JoJo Natson,CLE,0.7,8.3,0,0,0,0,0,0.8
River Cracraft,SF,0.7,8.3,0,0,0,0,0,0.8
Justin Hardy,CHI,0.7,8,0,0,0,0,0,0.8
Kevin White,NO,0.7,8,0,0,0,0,0,0.8
Tyrie Cleveland,DEN,0.7,8,0,0,0,0,0,0.8
Keith Kirkwood,CAR,0.7,7.6,0,0,0,0,0,0.8
Jordan Matthews,SF,0.7,7.6,0,0,0,0,0,0.8
Ryan Switzer,CLE,0.8,7.1,0,0,0,0,0,0.7
